Date,Business Unit,Housing,Healthcare,Education,Manufacturing/Production,Hospitality,Consulting
9/1/2022,IKEJA,26226.43,2196.078333,3984.328333,4078.422598,5122.713769,2276.758333
9/1/2022,IKORODU,52324.23,2443.418333,1457.858333,4537.776538,1874.393754,833.0683333
9/1/2022,OSHODI,53199.93,2306.108333,2587.028333,4282.772126,3326.179214,1478.298333
9/1/2022,SHOMOLU,53554.61,2317.868333,2413.708333,4304.6181,3103.336402,1379.258333
10/1/2022,ABULE EGBA,30744.47,2275.793333,1292.125,4226.472348,1661.299058,738.3516667
10/1/2022,AKOWONJO,48536.06,2296.973333,1732.115,4265.810225,2227.004251,989.7816667
10/1/2022,IKEJA,26324.96,2234.333333,3716.605,4149.466107,4778.494031,2123.771667
10/1/2022,IKORODU,54095.97,2408.843333,1344.345,4473.573638,1728.441565,768.1916667
10/1/2022,OSHODI,45220.67,2399.473333,2360.915,4456.171578,3035.460022,1349.091667
10/1/2022,SHOMOLU,49773.98,2353.153333,2069.285,4370.143831,2660.510833,1182.451667
11/1/2022,ABULE EGBA,30636.58,2500.58,1412.216667,4643.927702,1815.702905,806.9816667
11/1/2022,AKOWONJO,51869.22,2547.63,1906.976667,4731.30443,2451.822302,1089.701667
11/1/2022,IKEJA,27779.4,2456.82,4232.166667,4562.663922,5441.356168,2418.381667
11/1/2022,IKORODU,53976.48,2712.92,1457.406667,5038.281423,1873.807154,832.8016667
11/1/2022,OSHODI,46837.79,2642.63,2684.636667,4907.744431,3451.670415,1534.071667
11/1/2022,SHOMOLU,58192.87,2637.33,2290.946667,4897.896486,2945.499845,1309.111667
12/1/2022,ABULE EGBA,35280.37,2426.801667,1473.435,4506.90743,1894.415047,841.9666667
12/1/2022,AKOWONJO,56830.78,2451.971667,1992.765,4553.662476,2562.132391,1138.726667
12/1/2022,IKEJA,30451.6,2442.951667,4312.295,4536.902655,5544.380662,2464.166667
12/1/2022,IKORODU,65295.63,2674.201667,1545.215,4966.364584,1986.706532,882.9766667
12/1/2022,OSHODI,53452.62,2636.981667,2809.715,4897.259223,3612.493429,1605.556667
12/1/2022,SHOMOLU,62164.95,2573.841667,2546.545,4779.993536,3274.13068,1455.166667
